,monster_name,monster_level,action_term,action_name,damage_type,attack_range,action_cost,attack_type,damage_dice_calculations,attack_roll_mod,spell_DC,spell_slot_level,casting time,target,area,duration,saving throw,spell attack,conditions
74,chioma,6,Attack 1,fist,"['bludgeoning', 'good']",5,1,melee,"[['3', '6', '1'], ['1', '6', 0]]",14.0,0,0,0,0,0,0,0,0,0
75,chioma,6,Attack 2,piercing,"['good', 'piercing', 'sonic']",90,1,range,"[['4', '6', 0], ['1', '6', 0]]",17.0,0,0,0,0,0,0,0,0,0
76,choral (choir angel),6,Attack 1,fist,"['bludgeoning', 'good']",5,1,melee,"[['3', '6', '1'], ['1', '6', 0]]",14.0,0,0,0,0,0,0,0,0,0
77,choral (choir angel),6,Attack 2,piercing,"['good', 'piercing', 'sonic']",90,1,range,"[['4', '6', 0], ['1', '6', 0]]",17.0,0,0,0,0,0,0,0,0,0
78,balisse (confessor angel),8,Attack 1,flaming,"['good', 'fire', 'slashing', 'force']",5,1,melee,"[['2', '6', '8'], ['1', '6', 0], ['1', '6', 0]]",20.0,0,0,0,0,0,0,0,0,0
79,movanic deva (guardian angel),10,Attack 1,flaming,"['fire', 'good', 'slashing']",5,1,melee,"[['2', '8', '9'], ['1', '6', 0], ['1', '6', 0]]",23.0,0,0,0,0,0,0,0,0,0
80,monadic deva (soul angel),12,Attack 1,holy,"['bludgeoning', 'good', 'force']",5,1,melee,"[['2', '6', '15'], ['1', '6', 0], ['1', '6', 0]]",28.0,0,0,0,0,0,0,0,0,0
81,astral deva (emissary angel),14,Attack 1,holy,"['bludgeoning', 'good']",5,1,melee,"[['2', '8', '22'], ['1', '6', 0]]",30.0,0,0,0,0,0,0,0,0,0
82,planetar (justice angel),16,Attack 1,holy,"['good', 'slashing']",5,1,melee,"[['3', '12', '16'], ['1', '6', 0]]",32.0,0,0,0,0,0,0,0,0,0
83,solar (archangel),23,Attack 1,holy,"['good', 'slashing']",5,1,melee,"[['4', '12', '22'], ['2', '6', 0]]",44.0,0,0,0,0,0,0,0,0,0
84,solar (archangel),23,Attack 2,holy,"['good', 'piercing']",100,1,range,"[['4', '8', '17'], ['2', '6', 0]]",40.0,0,0,0,0,0,0,0,0,0
85,animate dream,8,Attack 1,nightmare,[],5,1,melee,"[['4', '8', 0]]",20.0,0,0,0,0,0,0,0,0,0
86,animated broom,-1,Attack 1,bristles,['bludgeoning'],5,1,melee,"[['1', '4', 0]]",6.0,0,0,0,0,0,0,0,0,0
87,lesser guardian statue,-1,Attack 1,slam,['bludgeoning'],5,1,melee,"[['1', '4', '1']]",6.0,0,0,0,0,0,0,0,0,0
88,animated armor,2,Attack 1,glaive,"['slashing', 'force']",5,1,melee,"[['1', '8', '4']]",11.0,0,0,0,0,0,0,0,0,0
89,animated armor,2,Attack 2,gauntlet,['bludgeoning'],5,1,melee,"[['1', '6', '4']]",9.0,0,0,0,0,0,0,0,0,0
90,animated statue,3,Attack 1,fist,['bludgeoning'],5,1,melee,"[['1', '8', '6']]",11.0,0,0,0,0,0,0,0,0,0
91,spirit guardian statue,3,Attack 1,slam,['bludgeoning'],5,1,melee,"[['1', '8', '6']]",11.0,0,0,0,0,0,0,0,0,0
92,giant animated statue,7,Attack 1,stone,['bludgeoning'],5,1,melee,"[['2', '12', '6']]",19.0,0,0,0,0,0,0,0,0,0
93,giant animated statue,7,Attack 2,flaming,"['bludgeoning', 'fire']",80,1,range,"[['2', '6', '6'], ['2', '8', 0]]",12.0,0,0,0,0,0,0,0,0,0
94,animated furnace,9,Attack 1,door,"['bludgeoning', 'fire']",5,1,melee,"[['2', '12', '9'], ['1', '8', 0]]",21.0,0,0,0,0,0,0,0,0,0
95,animated trebuchet,13,Attack 1,arm,['bludgeoning'],5,1,melee,"[['3', '12', '11']]",28.0,0,0,0,0,0,0,0,0,0
96,animated trebuchet,13,Attack 2,rock,['bludgeoning'],120,1,range,"[['3', '10', '11']]",28.0,0,0,0,0,0,0,0,0,0
97,animated colossus,15,Attack 1,fist,['bludgeoning'],5,1,melee,"[['3', '12', '17']]",32.0,0,0,0,0,0,0,0,0,0
98,animated colossus,15,Attack 2,foot,['bludgeoning'],5,1,melee,"[['3', '8', '17']]",32.0,0,0,0,0,0,0,0,0,0
99,that bastard,3,Attack 1,mandibles,"['piercing', 'acid']",5,1,melee,"[['1', '8', '4'], ['1', '6', 0]]",13.0,0,0,0,0,0,0,0,0,0
100,that bastard,3,Attack 2,acid,['acid'],30,1,range,"[['3', '6', 0]]",10.0,0,0,0,0,0,0,0,0,0
101,ankhrav,3,Attack 1,mandibles,"['piercing', 'acid']",5,1,melee,"[['1', '8', '4'], ['1', '6', 0]]",13.0,0,0,0,0,0,0,0,0,0
102,ankhrav,3,Attack 2,acid,['acid'],30,1,range,"[['3', '6', 0]]",10.0,0,0,0,0,0,0,0,0,0
103,hive mother,8,Attack 1,mandibles,"['piercing', 'acid']",5,1,melee,"[['2', '8', '6'], ['2', '6', 0]]",20.0,0,0,0,0,0,0,0,0,0
104,hive mother,8,Attack 2,acid,['acid'],30,1,range,"[['5', '6', 0]]",17.0,0,0,0,0,0,0,0,0,0
105,ankou,14,Attack 1,claw,"['cold', 'slashing']",5,1,melee,"[['3', '6', '15']]",29.0,0,0,0,0,0,0,0,0,0
106,ankou,14,Attack 2,wing,"['cold', 'piercing', 'bleed']",5,1,melee,"[['2', '6', '15'], ['2', '6', 0]]",29.0,0,0,0,0,0,0,0,0,0
108,giant worker ant,1,Attack 1,mandibles,['slashing'],5,1,melee,"[['1', '6', '3']]",9.0,0,0,0,0,0,0,0,0,0
109,giant ant,2,Attack 1,mandibles,['slashing'],5,1,melee,"[['1', '8', '4']]",11.0,0,0,0,0,0,0,0,0,0
110,giant ant,2,Attack 2,stinger,['piercing'],5,1,melee,"[['1', '6', '4']]",11.0,0,0,0,0,0,0,0,0,0
111,aolaz,18,Attack 1,trunk,['bludgeoning'],5,1,melee,"[['5', '10', '17']]",35.0,0,0,0,0,0,0,0,0,0
112,aolaz,18,Attack 2,foot,['bludgeoning'],5,1,melee,"[['5', '8', '15']]",33.0,0,0,0,0,0,0,0,0,0
113,gorilla,3,Attack 1,fist,['bludgeoning'],5,1,melee,"[['2', '6', '4']]",11.0,0,0,0,0,0,0,0,0,0
114,gorilla,3,Attack 2,jaws,['piercing'],5,1,melee,"[['1', '8', '4']]",11.0,0,0,0,0,0,0,0,0,0
115,megaprimatus,8,Attack 1,fist,['bludgeoning'],5,1,melee,"[['2', '8', '10']]",21.0,0,0,0,0,0,0,0,0,0
116,megaprimatus,8,Attack 2,jaws,['piercing'],5,1,melee,"[['2', '10', '10']]",21.0,0,0,0,0,0,0,0,0,0
117,pine brute,1,Attack 1,branch,['piercing'],5,1,melee,"[['1', '6', '3']]",8.0,0,0,0,0,0,0,0,0,0
118,arboreal warden,4,Attack 1,stone,['bludgeoning'],5,1,melee,"[['1', '8', '10']]",13.0,0,0,0,0,0,0,0,0,0
119,arboreal warden,4,Attack 2,shield,['bludgeoning'],5,1,melee,"[['1', '6', '10']]",13.0,0,0,0,0,0,0,0,0,0
120,awakened tree,6,Attack 1,branch,['bludgeoning'],5,1,melee,"[['2', '8', '6']]",16.0,0,0,0,0,0,0,0,0,0
121,awakened tree,6,Attack 2,root,['bludgeoning'],5,1,melee,"[['2', '6', '6']]",16.0,0,0,0,0,0,0,0,0,0
122,enlightened awakened tree,6,Attack 1,branch,['bludgeoning'],5,1,melee,"[['2', '8', '6']]",16.0,0,0,0,0,0,0,0,0,0
123,enlightened awakened tree,6,Attack 2,root,['bludgeoning'],5,1,melee,"[['2', '6', '6']]",16.0,0,0,0,0,0,0,0,0,0
124,arboreal reaper,7,Attack 1,branch,['bludgeoning'],5,1,melee,"[['2', '10', '8']]",18.0,0,0,0,0,0,0,0,0,0
125,arboreal reaper,7,Attack 2,root,['bludgeoning'],5,1,melee,"[['2', '6', '8']]",18.0,0,0,0,0,0,0,0,0,0
126,arboreal reaper,7,Attack 3,thorns,"['piercing', 'bleed']",5,1,range,"[['2', '8', '5'], ['1', '4', 0]]",16.0,0,0,0,0,0,0,0,0,0
127,arboreal regent,8,Attack 1,branch,['bludgeoning'],5,1,melee,"[['2', '12', '7']]",19.0,0,0,0,0,0,0,0,0,0
128,arboreal regent,8,Attack 2,root,['bludgeoning'],5,1,melee,"[['2', '8', '7']]",19.0,0,0,0,0,0,0,0,0,0
129,arboreal regent,8,Attack 3,rock,['bludgeoning'],120,1,range,"[['2', '10', '7']]",19.0,0,0,0,0,0,0,0,0,0
130,arboreal archive,12,Attack 1,branch,['bludgeoning'],5,1,melee,"[['3', '10', '10']]",25.0,0,0,0,0,0,0,0,0,0
131,lantern archon,1,Attack 1,light,"['fire', 'good']",30,1,range,"[['1', '4', 0], ['1', '4', 0]]",8.0,0,0,0,0,0,0,0,0,0
132,horned archon,4,Attack 1,horn,"['good', 'piercing']",5,1,melee,"[['2', '8', '3'], ['1', '6', 0]]",11.0,0,0,0,0,0,0,0,0,0
133,horned archon,4,Attack 2,composite,"['good', 'piercing']",100,2,range,"[['1', '8', '4'], ['1', '6', 0]]",14.0,0,0,0,0,0,0,0,0,0
134,hound archon,4,Attack 1,greatsword,"['good', 'slashing']",5,1,melee,"[['1', '12', '6'], ['1', '6', 0]]",14.0,0,0,0,0,0,0,0,0,0
135,hound archon,4,Attack 2,jaws,"['good', 'piercing']",5,1,melee,"[['1', '6', '6'], ['1', '6', 0]]",14.0,0,0,0,0,0,0,0,0,0
136,legion archon,7,Attack 1,flame,"['fire', 'good', 'slashing']",5,1,melee,"[['2', '10', '5'], ['1', '6', 0], ['1', '6', 0]]",18.0,0,0,0,0,0,0,0,0,0
137,legion archon,7,Attack 2,flame,"['fire', 'good', 'slashing']",30,1,range,"[['2', '10', '5'], ['1', '6', 0], ['1', '6', 0]]",15.0,0,0,0,0,0,0,0,0,0
139,shield archon,10,Attack 1,holy,"['good', 'piercing']",5,1,melee,"[['2', '6', '10'], ['1', '6', 0]]",22.0,0,0,0,0,0,0,0,0,0
140,trumpet archon,14,Attack 1,bastard,"['good', 'slashing', 'sonic']",5,1,melee,"[['2', '12', '13'], ['2', '6', 0], ['1', '6', 0]]",29.0,0,0,0,0,0,0,0,0,0
141,star archon,19,Attack 1,returning,"['fire', 'good', 'piercing']",5,1,melee,"[['3', '4', '16'], ['2', '6', 0], ['3', '6', 0]]",38.0,0,0,0,0,0,0,0,0,0
142,star archon,19,Attack 2,starknife,"['fire', 'good', 'piercing']",60,1,range,"[['3', '4', '16'], ['2', '6', 0], ['3', '6', 0]]",38.0,0,0,0,0,0,0,0,0,0
144,bastion archon,20,Attack 1,fist,"['bludgeoning', 'good', 'lawful']",5,1,melee,"[['4', '8', '20'], ['2', '6', 0]]",40.0,0,0,0,0,0,0,0,0,0
145,asanbosam,6,Attack 1,cold,"['cold', 'piercing']",5,1,melee,"[['2', '8', '7']]",17.0,0,0,0,0,0,0,0,0,0
146,asanbosam,6,Attack 2,claw,['slashing'],5,1,melee,"[['2', '6', '7']]",17.0,0,0,0,0,0,0,0,0,0
147,assassin vine,3,Attack 1,vine,['bludgeoning'],5,1,melee,"[['1', '8', '6']]",12.0,0,0,0,0,0,0,0,0,0
148,shaukeen,1,Attack 1,jaws,"['fire', 'piercing', 'evil']",5,1,melee,"[['1', '8', 0]]",9.0,0,0,0,0,0,0,0,0,0
149,shaukeen,1,Attack 2,thorn,"['piercing', 'evil']",5,1,melee,"[['1', '8', 0]]",9.0,0,0,0,0,0,0,0,0,0
150,adhukait,7,Attack 1,kukri,"['slashing', 'bleed', 'evil']",5,1,melee,"[['1', '6', '9'], ['2', '6', 0], ['1', '4', 0]]",18.0,0,0,0,0,0,0,0,0,0
151,adhukait,7,Attack 2,claw,"['slashing', 'evil']",5,1,melee,"[['1', '6', '9'], ['1', '4', 0]]",18.0,0,0,0,0,0,0,0,0,0
153,japalisura,12,Attack 1,hatchet,"['slashing', 'evil', 'mental']",5,1,melee,"[['1', '6', '8'], ['4', '6', 0], ['1', '6', 0]]",23.0,0,0,0,0,0,0,0,0,0
154,japalisura,12,Attack 2,composite,"['evil', 'mental']",60,1,range,"[['2', '6', '5'], ['4', '6', 0], ['1', '6', 0]]",26.0,0,0,0,0,0,0,0,0,0
155,nikaramsa,14,Attack 1,jaws,"['piercing', 'evil']",5,1,melee,"[['3', '10', '14'], ['2', '6', 0]]",29.0,0,0,0,0,0,0,0,0,0
156,nikaramsa,14,Attack 2,claw,"['slashing', 'evil']",5,1,melee,"[['3', '6', '14'], ['2', '6', 0]]",29.0,0,0,0,0,0,0,0,0,0
157,nikaramsa,14,Attack 3,tongue,"['bludgeoning', 'evil']",5,1,melee,"[['3', '6', '14'], ['2', '6', 0]]",29.0,0,0,0,0,0,0,0,0,0
158,athach,12,Attack 1,fist,['bludgeoning'],5,1,melee,"[['3', '12', '13']]",25.0,0,0,0,0,0,0,0,0,0
159,athach,12,Attack 2,jaws,['piercing'],5,1,melee,"[['3', '8', '13']]",25.0,0,0,0,0,0,0,0,0,0
160,athach,12,Attack 3,claw,['slashing'],5,1,melee,"[['3', '8', '13']]",25.0,0,0,0,0,0,0,0,0,0
162,athach,12,Attack 5,rock,['bludgeoning'],120,1,range,"[['3', '8', '13']]",25.0,0,0,0,0,0,0,0,0,0
163,attic whisperer,4,Attack 1,jaws,['piercing'],5,1,melee,"[['2', '8', 0]]",15.0,0,0,0,0,0,0,0,0,0
164,attic whisperer,4,Attack 2,bony,[],5,1,melee,"[['2', '10', 0]]",13.0,0,0,0,0,0,0,0,0,0
165,giant aukashungi,14,Attack 1,jaws,['piercing'],5,1,melee,"[['3', '12', '13']]",29.0,0,0,0,0,0,0,0,0,0
166,giant aukashungi,14,Attack 2,horn,['piercing'],5,1,melee,"[['3', '8', '13']]",27.0,0,0,0,0,0,0,0,0,0
167,aurumvorax,9,Attack 1,jaws,['piercing'],5,1,melee,"[['2', '10', '12']]",21.0,0,0,0,0,0,0,0,0,0
168,aurumvorax,9,Attack 2,claw,['slashing'],5,1,melee,"[['2', '8', '12']]",21.0,0,0,0,0,0,0,0,0,0
169,avarek,8,Attack 1,dagger,['piercing'],5,1,melee,"[['2', '4', '4']]",20.0,0,0,0,0,0,0,0,0,0
170,avarek,8,Attack 2,spine,"['piercing', 'bleed']",5,1,melee,"[['2', '6', '4'], ['1', '6', 0]]",16.0,0,0,0,0,0,0,0,0,0
171,avarek,8,Attack 3,dagger,['piercing'],10,1,range,"[['2', '4', '4']]",20.0,0,0,0,0,0,0,0,0,0
174,azarketi explorer,2,Attack 1,trident,['piercing'],5,1,melee,"[['1', '8', '6']]",10.0,0,0,0,0,0,0,0,0,0
175,azarketi explorer,2,Attack 2,dagger,['piercing'],5,1,melee,"[['1', '4', '6']]",10.0,0,0,0,0,0,0,0,0,0
176,azarketi explorer,2,Attack 3,trident,['piercing'],20,1,range,"[['1', '8', '6']]",7.0,0,0,0,0,0,0,0,0,0
179,lyrakien (wanderer azata),1,Attack 2,starlight,"['good', 'chaotic']",10,1,range,"[['1', '4', 0], ['1', '4', 0]]",9.0,0,0,0,0,0,0,0,0,0
180,gancanagh (passion azata),4,Attack 1,silver,"['good', 'piercing']",5,1,melee,"[['1', '6', '7'], ['1', '4', 0]]",13.0,0,0,0,0,0,0,0,0,0
181,bralani (wind azata),6,Attack 1,scimitar,"['good', 'slashing', 'force', 'electricity']",5,1,melee,"[['1', '6', '8'], ['2', '6', 0], ['1', '6', 0]]",16.0,0,0,0,0,0,0,0,0,0
182,bralani (wind azata),6,Attack 2,composite,"['good', 'electricity']",30,2,range,"[['1', '8', '6'], ['1', '6', 0], ['1', '6', 0]]",18.0,0,0,0,0,0,0,0,0,0
183,lillend (muse azata),7,Attack 1,longsword,"['good', 'slashing', 'chaotic']",5,1,melee,"[['1', '8', '10'], ['1', '6', 0], ['1', '6', 0]]",18.0,0,0,0,0,0,0,0,0,0
184,lillend (muse azata),7,Attack 2,tail,"['bludgeoning', 'good', 'chaotic']",5,1,melee,"[['2', '6', '10'], ['1', '6', 0], ['1', '6', 0]]",18.0,0,0,0,0,0,0,0,0,0
185,ghaele (crusader azata),13,Attack 1,holy,"['good', 'slashing']",5,1,melee,"[['2', '12', '13'], ['1', '6', 0], ['1', '6', 0]]",28.0,0,0,0,0,0,0,0,0,0
186,ghaele (crusader azata),13,Attack 2,light,"['good', 'chaotic']",300,1,range,"[['1', '12', 0], ['1', '12', 0], ['2', '6', '6']]",25.0,0,0,0,0,0,0,0,0,0
187,veranallia (rebirth azata),20,Attack 1,sickle,"['cold', 'good', 'slashing']",5,1,melee,"[['3', '4', '16'], ['4', '6', 0], ['1', '6', 0]]",39.0,0,0,0,0,0,0,0,0,0
188,veranallia (rebirth azata),20,Attack 2,vine,"['bludgeoning', 'good']",5,1,melee,"[['4', '12', '16'], ['1', '6', 0]]",39.0,0,0,0,0,0,0,0,0,0
189,azer,2,Attack 1,warhammer,"['bludgeoning', 'fire']",5,1,melee,"[['1', '8', '3'], ['1', '6', 0]]",9.0,0,0,0,0,0,0,0,0,0
190,azer,2,Attack 2,light,"['bludgeoning', 'fire']",5,1,melee,"[['1', '6', '3'], ['1', '6', 0]]",9.0,0,0,0,0,0,0,0,0,0
191,azer,2,Attack 3,light,"['bludgeoning', 'fire']",20,1,range,"[['1', '6', '3'], ['1', '6', 0]]",7.0,0,0,0,0,0,0,0,0,0
