name,Rarity,Alignment,Creature Level,Trait 1,Trait 2,Trait 3,Trait 4,Trait 5,Trait 6,Trait 7,Perception,HP,AC,Fort,Ref,Will,Fort DC,Ref DC,Will DC,speed_Land,speed_Fly,speed_Swim,spped_Burrow,speed_Climb,speed_Other,speed_Highest Overland,one_Immunity,one_Resistance,one_Weakness,many_Immunity,many_Resistance,many_Weakness,Attack 1,attack1_mod,Attack 2,attack2_mod,Attack 3,attack3_mod,Attack 4,attack4_mod,Attack 5,attack5_mod,Attack 6,attack6_mod,Attack 7,attack7_mod,Max HB,Spells 1,spell1_mod,Spells 2,spell2_mod,Spells 3,spell3_mod,Max DC,SPAtk 1,SPAtk 2,SPAtk 3,Max SPAtk,dmg_acid,dmg_cold,dmg_electricity,dmg_fire,dmg_sonic,dmg_Negative,dmg_Positive,dmg_Mental,dmg_Poison,dmg_Force,dmg_Bludgeoning,dmg_Piercing,dmg_Slashing,dmg_Persistent,dmg_Bleed,dmg_Lawful,dmg_Chaotic,dmg_Good,dmg_Evil,dmg_Magical,Reaction 1,Reaction 2,Reaction 3,Attack Op
PLEROMA,Common,Neutral,20,Aeon,Monitor,,,,,,37,335,45,32,31,37,,-1,,,40 ; freedom of movement,,,,,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"Melee energy touch (agile, lawful, magical) +36, Damage 5d8+18 positive or negative damage plus 1d6 lawful",36,"Ranged Sphere of Oblivion +37 (magical), Effect see Sphere of Oblivion",37,0,,0,,0,,0,,0,,37,"Divine Innate Spells DC 47, attack +37; 10th alter reality; 9th banishment, blade barrier, disjunction, overwhelming presence; 8th disintegrate (c3972), unrelenting observation; 7th plane shift, retrocognition; 5th creation (at will); 4th create food (at will), shape stone (at will); 3rd hypercognition (at will); 2nd detect alignment (at will), shape wood (at will); 1st create water (at will); Constant (8th) true seeing; (4th) freedom of movement",47,0,,0,,47,37,,,37,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Reality Twist Trigger The pleroma critically fails the saving throw. Effect The critical failure becomes a normal failure.,,,FALSE
SILVANSHEE (CAT AGATHION),Common,Neutral Good,1,Agathion,Celestial,,,,,,8,20,17,5,9,6,-2,,,25,40,,,,,40,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Melee jaws +9 (finesse, good, magical), Damage 1d-2 piercing plus 1d4 good",9,"Melee claw +9 (agile, finesse, good, magical), Damage 1d-2 slashing plus 1d4 good",9,0,,0,,0,,0,,0,,9,"Divine Innate Spells DC 16; 4th gaseous form (c3973), read omens; Cantrips (1st) dancing lights, know direction, prestidigitation, stabilize; Constant (2nd) speak with animals",16,0,,0,,16,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,FALSE
VULPINAL (FOX AGATHION),Common,Neutral Good,6,Agathion,Celestial,,,,,,15,105,24,12,14,15,-2,,,30,,,,,,30,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Melee jaws +15 (finesse, good, magical), Damage 2d10+4 piercing plus 1d6 good",15,"Melee claw +15 (agile, finesse, good, magical), Damage 2d6+4 slashing plus 1d6 good",15,0,,0,,0,,0,,0,,15,"Divine Innate Spells DC 24; 4th dimension door, divine wrath; 3rd calm emotions, remove disease; 2nd detect alignment (at will, evil only), invisibility (at will, self only); Constant (5th) speak with animals, tongues",24,0,,0,,24,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,FALSE
PROCYAL (RACCOON AGATHION),Common,Neutral Good,8,Agathion,Celestial,,,,,,18,170,26,16,14,18,,-2,,25,,,,,,25,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Melee claw +18 (agile, good, magical) Damage 2d8+10 plus 1d6 good",18,"Melee shortsword +19 (agile, finesse, good, magical, versatile S), Damage 2d6+10 plus 1d6 good",19,0,,0,,0,,0,,0,,19,"Divine Innate Spells DC 26, attack +18; 4th calm emotions, charm, dimension door, dispel magic, illusory creature, magic aura (at will), suggestion (at will); 3rd heroism; 2nd invisibility; Constant (5th) speak with animals, tongues",26,0,,0,,26,18,,,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,FALSE
DRACONAL (DRAGON AGATHION),Common,Neutral Good,20,Agathion,Celestial,,,,,,36,370,45,34,31,38,,-3,,30,90,,,,,90,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Melee jaws +38 (good, magical, reach 15 feet), Damage 3d12+18 piercing plus 1d6 good plus 4d6 fire",38,"Melee claw +38 (agile, good, magical, reach 10 feet), Damage 3d8+18 slashing plus 1d6 good plus 4d6 fire",38,0,,0,,0,,0,,0,,38,"Divine Innate Spells DC 46, attack +38; 10th miracle; 9th breath of life, dispel magic, divine decree, earthquake, heal (c3973), implosion, storm of vengeance; Constant (7th) circle of protection, speak with animals, tongues, true seeing",46,0,,0,,46,38,,,38,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"Dragones Salvation Trigger A creature within the draconales reach would take damage; Effect Before applying the damage, the draconal casts lay on hands on the triggering creature.",,,FALSE
YOUNG AHUIZOTL,Uncommon,Neutral Evil,4,Amphibious,Beast,,,,,,10,68,20,14,10,10,,,,25,,35,,,,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Melee jaws +14, Damage 2d8+4 piercing",14,"Melee claw +17 (agile), Damage 2d6+4 slashing",17,"Melee tail claw +17 (agile, reach 10 feet), Damage 2d4+4 slashing plus Improved Grab",17,0,,0,,0,,0,,17,0,,0,,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE
AHUIZOTL,Uncommon,Neutral Evil,6,Amphibious,Beast,,,,,,13,105,23,17,13,13,,,,25,,35,,,,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Melee jaws +17, Damage 2d8+8 piercing",17,"Melee claw +17 (agile), Damage 2d6+8 slashing",17,"Melee tail claw +17 (agile, reach 10 feet), Damage 2d4+8 slashing plus Improved Grab",17,0,,0,,0,,0,,17,0,,0,,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE
AIUDARA WRAITH,Rare,Neutral Evil,18,Astral,Incorporeal,Undead,Wraith,,,,33,300,45,33,37,33,-2,,,,60 ; instantaneous movement,,,,,0,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,"Melee spectral hand +35 (agile, finesse, magical), Damage 4d10+16 force plus dimensional shunt and drain life",35,0,,0,,0,,0,,0,,0,,35,0,,0,,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Teleportation Attachment (conjuration, teleportation) Trigger A creature within 60 feet uses a teleportation effect; Effect The aiudara wraith teleports with the creature, arriving in an empty space of its choice adjacent to the triggering creaturees destination. If the triggering effect targets multiple creatures, the aiudara wraith chooses which creature it arrives beside.",,,FALSE
AKATA,Rare,Neutral,1,Aberration,,,,,,,6,15,16,9,5,6,,-1,,30,,,,15,,30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Melee jaws +9 (agile), Damage 1d6+4 piercing plus void death",9,0,,0,,0,,0,,0,,0,,9,0,,0,,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE
SKUM (ULAT-KINI),Common,Lawful Evil,2,Amphibious,Humanoid,,,,,,6,40,16,7,7,4,,,,20,,40,,,,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Melee trident +10, Damage 1d8+4 piercing",10,"Melee claw +10 (agile), Damage 1d6+4 slashing",10,"Melee fangs +10, Damage 2d4+4 piercing",10,"Ranged trident +7 (thrown 20 feet), Damage 1d8+3 piercing",7,"You can throw this weapon as a ranged attack, and it is a ranged weapon when thrown. A thrown weapon adds your Strength modifier to damage just like a melee weapon does. When this trait appears on a melee weapon, it also includes the range increment. Ranged weapons with this trait use the range increment specified in the weapones Range entry.",,0,,0,,10,0,,0,,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE
FACELESS STALKER (UGOTHOL),Common,Chaotic Evil,4,Aberration,,,,,,,10,60,21,9,9,12,,,,25,,,,,,25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Melee longsword +14 (versatile P), Damage 1d8+6 slashing",14,"Melee claw +12 (agile), Damage 2d6+6 slashing plus Grab",12,"You can throw this weapon as a ranged attack, and it is a ranged weapon when thrown. A thrown weapon adds your Strength modifier to damage just like a melee weapon does. When this trait appears on a melee weapon, it also includes the range increment. Ranged weapons with this trait use the range increment specified in the weapones Range entry.",,0,,0,,0,,0,,14,Occult Innate Spells DC 19; Constant (5th) tongues,19,0,,0,,19,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE
ALGHOLLTHU MASTER (ABOLETH),Uncommon,Lawful Evil,7,Aberration,Aquatic,,,,,,17,135,23,15,10,16,,-3,,10,,60,,,,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Melee tentacle +16 (agile, magical, reach 15 feet), Damage 2d8+10 bludgeoning plus slime",16,0,,0,,0,,0,,0,,0,,16,"Occult Innate Spells DC 25; 7th project image (at will), veil (at will); 6th dominate (c3973), illusory scene (at will); 5th illusory object (at will); 4th hallucinatory terrain (at will); 3rd hypnotic pattern (at will)",25,0,,0,,25,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,FALSE
VEILED MASTER (VIDILETH),Rare,Lawful Evil,14,Aberration,Aquatic,,,,,,25,270,34,26,22,24,,-2,,10,,80,,,,10,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"Melee claw +30 (agile, magical, reach 20 feet), Damage 3d10+12 slashing plus slime",30,"Melee fangs +28 (agile, magical, reach 10 feet, versatile S), Damage 3d8+12 piercing plus slime and consume memories",28,"Melee tentacle +28 (agile, electricity, magical, reach 20 feet), Damage 7d6 electricity plus thoughtlance",28,0,,0,,0,,0,,30,"Occult Innate Spells DC 37; 9th project image (at will); 8th illusory scene (at will), suggestion (c3973); 7th veil (at will); 6th dominate (c3973); 5th dimension door (c3973), hallucinatory terrain (at will), illusory object (at will); 3rd hypnotic pattern (at will), levitate (at will), mind reading (at will), secret page (at will); Constant (5th) tongues",37,0,,0,,37,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,FALSE
ALUUM ENFORCER,Uncommon,Neutral,10,Construct,Mindless,,,,,,17,145,30,21,18,15,,-2,,25,,,,,,25,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"Melee fist +23 (magical), Damage 2d10+13 bludgeoning plus paralyzing force",23,0,,0,,0,,0,,0,,0,,23,0,,0,,0,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Attack of Opportunity Trigger A creature within the monsteres reach uses a manipulate action or a move action, makes a ranged attack, or leaves a square during a move action ites using. Effect The monster attempts a melee Strike against the triggering creature. If the attack is a critical hit and the trigger was a manipulate action, the monster disrupts that action. This Strike doesnet count toward the monsteres multiple attack penalty, and its multiple attack penalty doesnet apply to this Strike.",,,TRUE
SPIRITBOUND ALUUM,Rare,Neutral,16,Construct,Mindless,Soulbound,,,,,28,255,39,30,25,28,,-4,,25,25,,,,,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Melee fist +33 (magical), Damage 3d10+17 bludgeoning plus paralyzing force",33,0,,0,,0,,0,,0,,0,,33,Arcane Innate Spells DC 38; 9th bind soul (c3973); 5th locate,38,0,,0,,38,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Attack of Opportunity Trigger A creature within the monsteres reach uses a manipulate action or a move action, makes a ranged attack, or leaves a square during a move action ites using. Effect The monster attempts a melee Strike against the triggering creature. If the attack is a critical hit and the trigger was a manipulate action, the monster disrupts that action. This Strike doesnet count toward the monsteres multiple attack penalty, and its multiple attack penalty doesnet apply to this Strike.",,,TRUE
AMALGAMITE,Rare,Uncommon,13,Medium,Aberration,,,,,,23,220,33,22,22,26,,,,25,,,,,,25,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Melee limb +24, Damage 3d10+11 bludgeoning",24,"Ranged warping ray +27 (deadly 2d8, magical, range 100 feet), Damage 3d8+8 force",27,0,,0,,0,,0,,0,,27,"Occult Innate Spells DC 33; 7th ethereal jaunt, warp mind; 4th blink (c3972)",33,0,,0,,33,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Displace Trigger The amalgamite is hit by a Strike; Effect The amalgamite Repositions itself or Transposes itself with another creature. If the amalgamite successfully changes its location, it and any Transposed creature take half damage from the triggering Strike.",,,FALSE
NEFRETHUT,Rare,Neutral Evil,18,Fiend,,,,,,,33,350,41,35,27,28,,-4,,50,,,30,,,50,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Melee claw +32 (agile, reach 10 feet), Damage 3d8+16 slashing plus wasting wound",32,"Melee foot +30 (deadly d10), Damage 4d8+12 plus stunned 1 (DC 38 Fortitude negates)",30,"Melee jaws +32 (reach 15 feet), Damage 3d12+16 piercing plus Improved Grab",32,0,,0,,0,,0,,32,"Divine Innate Spells DC 37; 6th dominate; Constant (6th) detect alignment (evil only), true seeing",37,0,,0,,37,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE
AMMUT,Rare,Neutral Evil,18,Fiend,,,,,,,33,350,41,35,27,28,,-4,,50,,,30,,,50,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Melee claw +32 (agile, reach 10 feet), Damage 3d8+16 slashing plus wasting wound",32,"Melee foot +30 (deadly d10), Damage 4d8+12 plus stunned 1 (DC 38 Fortitude negates)",30,"Melee jaws +32 (reach 15 feet), Damage 3d12+16 piercing plus Improved Grab",32,0,,0,,0,,0,,32,"Divine Innate Spells DC 37; 6th dominate; Constant (6th) detect alignment (evil only), true seeing",37,0,,0,,37,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE
